"appid","average_2weeks","average_forever","developer","median_2weeks","median_forever","name","negative","owners","owners_variance","players_2weeks","players_2weeks_variance","players_forever","players_forever_variance","positive","price","publisher","score_rank","userscore"
"570350","0","174","NeoNight","0","194","Sorry. (Entschuldigung) ~ A Psychological Horror Visual Novel","7","5771","2407","0","0","2623","1622","16","299","NeoNight","27","73"
"352900","0","194","Black Forest Games","0","190","Giana Sisters: Dream Runners","22","27544","5258","0","0","16002","4008","22","999","EuroVideo Medien","9","66"
"662560","0","0","BekkerDev Studio","0","0","Space Shock 3","0","2623","1622","0","0","0","0","15","199","Atriagames","100","100"
"335920","0","88","SuperChop Games","0","79","Ephemerid: A Musical Adventure","14","13641","3700","0","0","8394","2902","167","199","SuperChop Games","82","90"
"523090","0","23","MNGOVR","0","43","Bomb U!","5","8657","2947","0","0","1177","1330","39","599","PITAYA NETWORK LIMITED","67","88"
"676470","0","5","Rovango Studio","0","6","Sommad","0","3410","1850","0","0","1574","1257","0","0","Rovango Studio","","0"
"44600","61","159","SimBin Studios AB","61","22","GTR - FIA GT Racing Game","24","66107","8145","788","1090","27807","5283","38","699","SimBin","17","59"
"269890","62","199","Gato Salvaje S.L.","107","155","AR-K","165","96537","9843","1177","1330","46170","6807","238","799","Gato Salvaje S.L.","15","57"
"308380","0","249","YorkshireRifles","0","191","Airship Dragoon","22","10755","3285","0","0","6821","2616","22","1999","YorkshireRifles","9","72"
"550590","0","270","Two Mammoths","0","307","Archaica: The Path of Light","3","2361","1539","0","0","2099","1451","97","1499","Two Mammoths","97","95"
"728730","1368","1105","Holyday Studios","332","75","Holyday City: Reloaded","26","38038","6179","14953","3874","31479","5621","163","0","Holyday Studios","61","86"
"568610","0","294","Choice of Games","0","274","VERSUS: The Elite Trials","2","2757","2040","0","0","2757","2040","22","399","Choice of Games","78","91"
"756600","0","0","Dranya Studio","0","0","Trianga's Project: Battle Splash 2.0","0","787","888","0","0","0","0","0","999","Dranya Studio","","0"
"73190","0","298","Ageod","0","85","Pride of Nations","35","24921","5001","0","0","10755","3285","31","1999","Slitherine Ltd.","7","44"
